127.0.0.1 - - [18/Mar/2024:21:56:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Mar/2024:21:56:42 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Mar/2024:21:56:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Mar/2024:21:57:55 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [18/Mar/2024:21:57:55 +0530] "GET /TechBlog/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:21:57:55 +0530] "GET /TechBlog/img/error.png HTTP/1.1" 200 23487
0:0:0:0:0:0:0:1 - - [18/Mar/2024:21:59:26 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [18/Mar/2024:21:59:27 +0530] "GET /TechBlog/img/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:00:54 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:00:54 +0530] "GET /TechBlog/img/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:02:48 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:02:48 +0530] "GET /TechBlog/img/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:03:10 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:03:12 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:03:23 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:03:24 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:03:46 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:03:46 +0530] "GET /TechBlog/img/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:22:03:57 +0530] "GET /TechBlog/error_page.jsp HTTP/1.1" 200 948
